0,1,2,3,4
33.1264969,-117.3273542,-20.184,0.167,0.19
33.1264969,-117.3273541,-20.146,0.178,0.19
33.1264968,-117.3273541,-20.102,0.162,0.2
33.1264967,-117.3273541,-20.088,0.161,0.19
33.1264967,-117.3273542,-20.091,0.182,0.19
33.1264967,-117.3273543,-20.089,0.194,0.2
33.1264967,-117.3273544,-20.075,0.203,0.21
33.1264967,-117.3273545,-20.068,0.217,0.22
33.1264967,-117.3273547,-20.048,0.236,0.24
33.1264967,-117.3273549,-20.036,0.264,0.26
33.1264967,-117.3273551,-20.035,0.284,0.28
33.1264968,-117.3273554,-20.035,0.318,0.3
33.1264969,-117.3273557,-20.041,0.378,0.33
33.1264969,-117.3273562,-20.03,0.459,0.39
33.126497,-117.3273566,-20.023,0.535,0.47
33.1264971,-117.3273571,-20.037,0.584,0.54
33.1264972,-117.3273575,-20.039,0.619,0.59
33.1264973,-117.3273579,-20.041,0.676,0.63
33.1264974,-117.3273584,-20.054,0.726,0.68
33.1264976,-117.3273589,-20.071,0.748,0.73
33.1264977,-117.3273591,-20.079,0.724,0.75
33.1264979,-117.3273595,-20.09,0.746,0.73
33.126498,-117.32736,-20.118,0.782,0.75
33.1264983,-117.3273604,-20.156,0.812,0.79
33.1264986,-117.3273608,-20.147,0.811,0.82
33.1264989,-117.3273613,-20.17,0.86,0.82
33.1264993,-117.327362,-20.204,0.94,0.87
33.1264998,-117.3273627,-20.194,0.998,0.94
33.1265005,-117.3273631,-20.127,1.007,1.0
33.1265011,-117.3273635,-20.099,1.022,1.01
33.1265017,-117.3273639,-20.142,1.039,1.03
33.126502,-117.327364,-20.23,1.013,1.04
33.1265025,-117.3273644,-20.293,1.029,1.02
33.1265032,-117.3273649,-20.279,1.041,1.03
33.1265043,-117.3273652,-20.237,1.011,1.04
33.1265052,-117.3273654,-20.231,1.014,1.01
33.1265058,-117.3273656,-20.263,1.018,1.02
33.126506,-117.3273659,-20.307,1.012,1.02
33.1265067,-117.3273663,-20.285,1.055,1.01
33.1265076,-117.3273667,-20.255,1.094,1.06
33.1265083,-117.3273669,-20.259,1.093,1.1
33.126509,-117.3273671,-20.238,1.108,1.1
33.1265096,-117.3273676,-20.196,1.148,1.11
33.1265102,-117.3273679,-20.223,1.172,1.15
